id,user,repo,notes
1,NYTimes,objective-c-style-guide,newsroom
2,guardian,frontend,newsroom
3,newsapps,beeswithmachineguns,newsroom
4,BloombergMedia,whatiscode,newsroom
5,fivethirtyeight,data,newsroom
6,nprapps,app-template,newsroom
7,voxmedia,meme,newsroom
8,propublica,guides,newsroom
9,TimeMagazine,babynames,newsroom
10,censusreporter,censusreporter,newsroom
11,datadesk,python-elections,newsroom
12,BuzzFeedNews,2014-06-bikeshare-gender-maps,newsroom
13,huffpostdata,ap-election-loader,newsroom
14,ajam,2014_payday-nation-data,newsroom
15,dukechronicle,chronline,newsroom
16,mbostock,d3,charting
17,nnnick,Chart.js,charting
18,Leaflet,Leaflet,"charting, maps"
19,ecomfe,echarts,charting
20,gionkunz,chartist-js,charting
21,jacomyal,sigma.js,charting
22,mozilla,metrics-graphics,charting
23,dc-js,dc.js,"charting, multi-dimensional"
24,epochjs,epoch,"charting, real-time"
25,vega,vega,charting
26,benpickles,peity,charting
27,densitydesign,raw,charting
28,matplotlib,matplotlib,charting
29,gka,chroma.js,colors
30,samizdatco,arbor,charting
31,Boris-Em,BEMSimpleLineGraph,"charting, iOS"
32,okfn,recline,charting
33,HumbleSoftware,envisionjs,charting
34,kartograph,kartograph.js,"charting, maps"
35,AnalyticalGraphicsInc,cesium,"charting, WebGL"
36,stamen,modestmaps-js,"charting, maps"
37,openaddresses,openaddresses,"open data, addresses"
38,unitedstates,congress-legislators,"open data, politics"
39,OpenExoplanetCatalogue,open_exoplanet_catalogue,"open data, astronomy"
40,Chicago,food-inspections-evaluation,"open data, food"
41,benbalter,congressional-districts,"open data, politics, maps"
42,cernopendata,opendata.cern.ch,open data
43,newsdev,elex,"politics, newsroom"
44,scitools,cartopy,mapping
45,coleifer,peewee,sql
46,buzzfeed-openlab,rss-puppy,newsroom
47,Quartz,bad-data-guide,newsroom
48,jnordberg,gif.js,gif
49,cfpb,qu,government
50,twitter,labella.js,timeline
51,GSA,govt-urls,government
52,hadley,data-movies,imdb
53,18F,open-data-maker,government
54,developmentseed,landsat-util,mapping
55,bendc,animateplus,animation
56,MuseumofModernArt,collection,art
57,jlevy,the-art-of-command-line,tutorial
58,CartoDB,cartodb,mapping
59,rstudio,ggvis,r
60,18F,analytics-reporter,google-analytics
61,dkahle,ggmap,mapping
62,Geolicious,qgis2leaf,"qgis,leaflet"
63,alex,what-happens-when,4fun
64,hadley,rvest,scraping
65,mattboldt,typed.js,jquery
66,davidmerfield,Typeset,type
67,edwardtufte,tufte-css,css
68,tiimgreen,github-cheat-sheet,tutorial
69,newsdev,odf,olympics
70,herrbischoff,awesome-osx-command-line,tutorial
71,fivethirtyeight,data,newsroom
72,jprobinson,newshound,newsroom
73,ether,etherpad-lite,text-editor
74,Quartz,Chartbuilder,"newsroom,charting"
75,Quartz,bad-data-guide,"newsroom,data"
76,jlord,sheetsee.js,charting
77,voxmedia,meme,newsroom
78,NUKnightLab,soundcite,sound
79,nytlabs,streamtools,newsroom
80,nprapps,pym.js,newsroom
81,nprapps,dailygraphics,charting
82,nprapps,bestpractices,newsroom
83,BuzzFeedNews,zika-data,zika
84,pippinlee,open-journalism-project,open-journalism
85,ajam,pulp,4fun
86,BuzzFeedNews,everything,newsroom
87,NYTimes,NYTPhotoViewer,newsroom
88,NYTimes,svg-crowbar,svg
89,NYTimes,pourover,newsroom
90,NYTimes,Emphasis,newsroom
